state,year,month,year_month,dengueCases,zikaCases,chikvCases,pop_tot,dengueIncidence,zikaIncidence,chikvIncidence
AC,2016,1,2016-01-01,343,103,12,816687,41.998954311749785,12.61193088661874,1.4693511712565523
AC,2016,2,2016-02-01,761,357,10,816687,93.18135344385303,43.71319734488243,1.2244593093804603
AC,2016,3,2016-03-01,330,489,37,816687,40.407157209555194,59.8760602287045,4.530499444707703
AC,2016,4,2016-04-01,266,305,29,816687,32.57061762952024,37.34600893610404,3.550931997203335
AC,2016,5,2016-05-01,82,93,1,816687,10.040566336919774,11.387471577238282,0.12244593093804602
AC,2016,6,2016-06-01,61,56,1,816687,7.469201787220808,6.8569721325305775,0.12244593093804602
AC,2016,7,2016-07-01,71,16,0,816687,8.693661096601268,1.9591348950087364,0
AC,2016,8,2016-08-01,41,21,2,816687,5.020283168459887,2.5713645496989668,0.24489186187609205
AC,2016,9,2016-09-01,38,13,1,816687,4.652945375645749,1.5917971021945982,0.12244593093804602
AC,2016,10,2016-10-01,49,17,2,816687,5.999850615964256,2.0815808259467823,0.24489186187609205
AC,2016,11,2016-11-01,58,36,1,816687,7.10186399440667,4.408053513769657,0.12244593093804602
AC,2016,12,2016-12-01,95,17,2,816687,11.632363439114373,2.0815808259467823,0.24489186187609205
AC,2017,1,2017-01-01,282,46,3,829619,33.99150694475416,5.544713898789685,0.36161177600802297
AC,2017,2,2017-02-01,250,52,4,829619,30.134314667335246,6.267937450805731,0.4821490346773639
AC,2017,3,2017-03-01,197,52,1,829619,23.745839957860174,6.267937450805731,0.12053725866934098
AC,2017,4,2017-04-01,173,42,1,829619,20.85294574979599,5.062564864112321,0.12053725866934098
AC,2017,5,2017-05-01,89,17,6,829619,10.727816021571348,2.049133397378797,0.7232235520160459
AC,2017,6,2017-06-01,59,16,7,829619,7.111698261491118,1.9285961387094557,0.8437608106853869
AC,2017,7,2017-07-01,64,5,5,829619,7.714384554837823,0.602686293346705,0.602686293346705
AC,2017,8,2017-08-01,43,6,4,829619,5.183102122781662,0.7232235520160459,0.4821490346773639
AC,2017,9,2017-09-01,48,7,2,829619,5.7857884161283675,0.8437608106853869,0.24107451733868196
